country,cuisines,restaurant_count,percentage,average_rating,total_reviews
Greece,Central European,90,0.28907303912121796,4.322222222222222,3451.0
Greece,Central-Italian,16,0.051390762510438746,4.28125,2120.0
Greece,Chilean,1,0.0032119226569024216,4.0,1.0
Greece,Chinese,193,0.6199010727821674,4.139896373056994,9259.0
Greece,Colombian,1,0.0032119226569024216,4.0,92.0
Greece,Contemporary,302,0.9700006423845313,4.387417218543046,23383.0
Greece,Costa Rican,1,0.0032119226569024216,5.0,1.0
Greece,Croatian,5,0.01605961328451211,4.4,41.0
Greece,Cuban,10,0.03211922656902422,4.15,317.0
Greece,Czech,7,0.022483458598316953,4.571428571428571,72.0
Greece,Danish,2,0.006423845313804843,4.75,14.0
Greece,Deli,222,0.7130468298323377,4.475225225225225,6155.0
Greece,Diner,913,2.932485385751911,4.365826944140197,21767.0
Greece,Dining bars,150,0.4817883985353632,4.616666666666666,5070.0
Greece,Dutch,15,0.048178839853536326,4.533333333333333,282.0
Greece,Eastern European,93,0.29870880709192527,4.419354838709677,1704.0
Greece,Egyptian,19,0.061026530481146014,4.552631578947368,173.0
Greece,Emilian,1,0.0032119226569024216,5.0,2.0
Greece,Ethiopian,4,0.012847690627609687,4.625,65.0
Greece,European,4154,13.342326716772659,4.366995666827155,444933.0
Greece,Fast food,1501,4.821095908010535,4.3127914723517655,55722.0
Greece,French,221,0.7098349071754352,4.447963800904978,3163.0
Greece,Fruit parlours,81,0.2601657352090962,4.555555555555555,1588.0
Greece,Fujian,2,0.006423845313804843,4.0,6.0
Greece,Fusion,146,0.46894070790775355,4.4006849315068495,17738.0
Greece,Gastropub,127,0.4079141774266075,4.5078740157480315,6055.0
Greece,Georgian,4,0.012847690627609687,4.375,60.0
Greece,German,48,0.15417228753131623,4.5625,505.0
Greece,Greek,20761,66.68272627995118,4.334979047252059,1390125.0
Greece,Grill,1506,4.837155521295047,4.3708499335989375,105491.0
Greece,Guatemalan,1,0.0032119226569024216,5.0,1.0
Greece,Hawaiian,4,0.012847690627609687,4.125,57.0
Greece,Healthy,1145,3.6776514421532727,4.553711790393013,216319.0
Greece,Hungarian,7,0.022483458598316953,4.928571428571429,59.0
Greece,Indian,100,0.3211922656902422,4.395,13126.0
Greece,Indonesian,9,0.028907303912121797,4.611111111111111,556.0
Greece,International,1233,3.960300635960686,4.4249797242497975,128672.0
Greece,Irish,11,0.035331149225926645,4.5,1235.0
Greece,Israeli,7,0.022483458598316953,4.571428571428571,278.0
